"id","season","site","parcummjm2d","total_pre_all_csmm","total_ep_all_csmm","total_ref_et_all_csmm","total_iwr_all_csmm","mean_ari_index_all_cs","num_ddd","number_dsperiods","mean_lenght_dsdays","max_lenght_dsdays","num_wddays","number_wsperiods","mean_intensitymmday","mean_lenght_wsdays","max_lenght_wsdays","num_hd_tmaxdays","num_hw_tmaxwaves","mean_lenght_hw_tmaxday","max_lenght_hw_tmaxday","num_hd_tminnight","num_hw_tminwaves","mean_lenght_hw_tminnights","max_lenght_hw_tminnights","yieldkgha","department","dep_season"
1,"A","1_Huila_Campoalegre",442.35,662.3,241.562,714.086,557.169,0.842,69,4,6,9,50,7,13.69,5,8,12,0,0,0,10,0,0,0,6227.6,"Huila","Huila_A"
2,"A","1_Huila_Campoalegre",450.64,681.1,250.174,715.752,550.801,0.875,67,3,7,10,52,8,12.917,4,8,8,0,0,0,9,0,0,0,6577.5,"Huila","Huila_A"
3,"A","1_Huila_Campoalegre",461.21,644.8,230.091,720.846,576.944,0.836,72,4,7,10,47,7,13.697,4,8,13,2,4,5,9,0,0,0,6934.8,"Huila","Huila_A"
4,"A","1_Huila_Campoalegre",474,453.8,143.704,728.1,672.817,0.587,93,5,13,36,26,2,11.9,3,3,33,4,7,10,17,0,0,0,6543.5,"Huila","Huila_A"
5,"A","1_Huila_Campoalegre",493.27,505.2,143.202,742.557,690.071,0.658,95,6,12,36,25,1,5.667,3,3,39,5,7,10,21,0,0,0,6516.8,"Huila","Huila_A"
6,"A","1_Huila_Campoalegre",498.48,508.3,145.719,744.598,692.974,0.672,93,6,12,36,26,2,20.367,3,3,42,5,7,10,21,0,0,0,6351.5,"Huila","Huila_A"
7,"A","1_Huila_Campoalegre",445.26,483.6,145.856,701.356,639.58,0.643,91,5,13,27,28,3,18.611,4,5,13,1,6,6,16,0,0,0,6396.3,"Huila","Huila_A"
8,"A","1_Huila_Campoalegre",464.34,348.5,115.968,721.749,691.613,0.47,95,4,17,34,24,3,18.611,4,5,22,2,6,7,15,0,0,0,6587.2,"Huila","Huila_A"
9,"A","1_Huila_Campoalegre",491.43,265.9,101.484,744.657,731.515,0.345,98,5,15,34,22,2,11.817,4,5,31,2,10,13,18,1,3,3,6768.4,"Huila","Huila_A"
10,"A","1_Huila_Campoalegre",469.64,330,121.935,746.652,715.584,0.434,89,7,9,12,30,3,18.233,3,4,45,5,6,7,32,1,3,3,6109.7,"Huila","Huila_A"
11,"A","1_Huila_Campoalegre",476.54,338.1,127.09,743.122,708.875,0.463,87,7,9,12,32,3,18.233,3,4,44,5,6,7,27,0,0,0,6100.3,"Huila","Huila_A"
12,"A","1_Huila_Campoalegre",476.53,309,121.749,744.762,716.218,0.408,87,7,8,12,32,3,18.233,3,4,40,4,6,7,27,0,0,0,5906.8,"Huila","Huila_A"
13,"A","1_Huila_Campoalegre",435.11,441.4,151.108,700.496,636.906,0.583,84,4,12,16,33,3,14.617,3,4,10,1,4,4,24,2,4,6,6236.8,"Huila","Huila_A"
14,"A","1_Huila_Campoalegre",445.38,460.8,156.5,705.106,637.238,0.631,84,5,10,16,33,4,15.721,3,4,8,0,0,0,20,2,4,6,6376.9,"Huila","Huila_A"
15,"A","1_Huila_Campoalegre",463.22,342.6,126.824,722.416,684.943,0.447,90,6,11,16,28,3,11.278,3,3,13,1,3,3,18,1,3,3,6447.5,"Huila","Huila_A"
